cultur_val_ID,region_id,region,eng_question,question,topic,option_A,option_B,option_C,correct,textF,Predicted
Al-en-34,Wes_13,Western,What do people do to celebrate New Year's Day in your country?,What do people do to celebrate New Year's Day in the UK?,Holidays/Celebration/Leisure,['have a roast dinner family meal'],"[""pay a new year's visit"", 'new year greetings']",nothing,A,"
What do people do to celebrate New Year's Day in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. have a roast dinner family meal
B. ""pay a new years visit"" and new year greetings
C. nothing

Answer: ",B
Al-en-34,Wes_13,Western,What do people do to celebrate New Year's Day in your country?,What do people do to celebrate New Year's Day in the UK?,Holidays/Celebration/Leisure,nothing,"['watch fireworks', 'fireworks']",['have the reunion dinner'],B,"
What do people do to celebrate New Year's Day in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. nothing
B. watch fireworks and fireworks
C. have the reunion dinner

Answer: ",A
Al-en-43,Wes_20,Western,What is a popular indoor activity for families in your country?,What is a popular indoor activity for families in the UK?,Holidays/Celebration/Leisure,['fight the landlord'],['boardgames'],nothing,B,"
What is a popular indoor activity for families in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. fight the landlord
B. boardgames
C. nothing

Answer: ",B
Al-en-43,Wes_20,Western,What is a popular indoor activity for families in your country?,What is a popular indoor activity for families in the UK?,Holidays/Celebration/Leisure,['fight the landlord'],"['xbox', 'xbox or ps']",nothing,B,"
What is a popular indoor activity for families in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. fight the landlord
B. xbox and xbox or ps
C. nothing

Answer: ",C
An-ar-36,Wes_27,Western,What is the most popular sport team in your country?,What is the most popular sport team in the UK?,Sport,"['mc algiers', 'mc alger', ""mouloudia club d'alger"", ""d'alger"", 'mca', 'mouloudia']","['manchester united', 'manchester utd', 'manchester united']",['real madrid'],B,"
What is the most popular sport team in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. mc algiers and mc alger and ""mouloudia club dalger"" and ""dalger"" and mca and mouloudia
B. manchester united and manchester utd and manchester united
C. real madrid

Answer: ",C
An-ar-36,Wes_27,Western,What is the most popular sport team in your country?,What is the most popular sport team in the UK?,Sport,"['mc algiers', 'mc alger', ""mouloudia club d'alger"", ""d'alger"", 'mca', 'mouloudia']",['real madrid'],['liverpool'],C,"
What is the most popular sport team in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. mc algiers and mc alger and ""mouloudia club dalger"" and ""dalger"" and mca and mouloudia
B. real madrid
C. liverpool

Answer: ",B
Ca-sp-09,Wes_32,Western,What do people from your country usually eat for dessert?,What do people from the UK usually eat for dessert?,Food,nothing,['hot pudding'],['osmanthus cake'],B,"
What do people from your country usually eat for dessert?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. nothing
B. hot pudding
C. osmanthus cake

Answer: ",A
Ca-sp-09,Wes_32,Western,What do people from your country usually eat for dessert?,What do people from the UK usually eat for dessert?,Food,['yoghurt'],['osmanthus cake'],nothing,A,"
What do people from your country usually eat for dessert?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. yoghurt
B. osmanthus cake
C. nothing

Answer: ",A
Gu-ch-05,Wes_43,Western,What sports do seniors like the most in your country?,What sports do seniors like the most in the UK?,Sport,"['bowls', 'crown green bowls']","['football', 'soccer']",nothing,A,"
What sports do seniors like the most in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. bowls and crown green bowls
B. football and soccer
C. nothing

Answer: ",A
Gu-ch-05,Wes_43,Western,What sports do seniors like the most in your country?,What sports do seniors like the most in the UK?,Sport,['bowling'],"['square dance', 'square dancing']",nothing,A,"
What sports do seniors like the most in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. bowling
B. square dance and square dancing
C. nothing

Answer: ",A
Gu-ch-09,Wes_47,Western,What sports do women like to play the most in your country?,What sports do women like to play the most in the UK?,Sport,['dance'],['running'],"['football', 'soccer']",C,"
What sports do women like to play the most in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. dance
B. running
C. football and soccer

Answer: ",A
